rocket_name,rocket_details_link,rocket_id,description,missions,successes,partial_failures,failures,success_streak,success_rate,configurations
NOTS-EV-1,https://nextspaceflight.com/rockets/53,53,"The NOTS-EV-1 Pilot, better known as NOTSNIK (pronounced notsnik a play on ""sputnik"") was an expendable launch system and anti-satellite weapon developed by the United States Navy's United States Naval Ordnance Test Station (NOTS). NOTSNIK began as an in-house project using available NOTS funds. The Advanced Research Projects Agency later supplied some funds for the program. It was the first air-launched rocket to be used for an orbital launch attempt; however, none was recorded as having reached orbit. Following the third orbital launch attempt a NOTS engineer at the tracking station in Christchurch, New Zealand reported receiving a weak signal from the spacecraft. This was never confirmed, and the launches were not cataloged as having reached orbit.",6.0,0.0,0.0,6.0,0.0,0%,['NOTS-EV-1']
Nova,https://nextspaceflight.com/rockets/289,289,"Two-stage fully reusable rocket, the second stage uses a regeneratively cooled metallic heat shield for reentry, and several engines to allow for landing and trajectory correction. The first stage uses 7 LNG/LOX engines and will have RTLS and downrange landing capability.",,,,,,,['Nova']
OS-M1,https://nextspaceflight.com/rockets/63,63,"OS-M1 or just OS-M, (also known as Chongqing Liangjiang Star or Chongqing SQX or Chongqing or SQX-1Y1), is a 4-stage solid fuel orbital rocket that is 19-meters long, 1.2 meters in diameter and weighs 21-tons. Reportedly OS-M1 uses demilitarized solid rocket motors from retired military missiles.",1.0,0.0,0.0,1.0,0.0,0%,['OS-M1']
Pegasus,https://nextspaceflight.com/rockets/132,132,"Pegasus is an air-launched rocket developed by Orbital Sciences Corporation and now built and launched by Northrop Grumman. The vehicle consists of three solid-propellant stages and an optional monopropellant fourth stage. Pegasus is released from its carrier aircraft at approximately 40,000 ft (12,000 m), and its first stage has a wing and a tail to provide lift and attitude control while in the atmosphere. Notably, the first stage does not have a Thrust Vector Control (TVC) system. Pegasus is the world's first privately developed space launch vehicle.",45.0,40.0,2.0,3.0,31.0,91.1%,"['Pegasus', 'Pegasus/HAPS', 'Pegasus XL', 'Pegasus XL/HAPS']"
Polyot,https://nextspaceflight.com/rockets/193,193,"The Polyot (Also known as Sputnik, GRAU index 11A59) was an interim orbital carrier rocket, built to test ASAT spacecraft. It was required as a stopgap after the cancellation of the UR-200 program, but before the Tsyklon could enter service. The rocket consisted of a core stage, and four boosters, which were taken from a Voskhod 11A57 rocket.",2.0,2.0,0.0,0.0,2.0,100%,['Polyot']
Proton,https://nextspaceflight.com/rockets/134,134,"Proton started its life as a ""super heavy ICBM"". It was designed to launch a 100-megaton (or larger) thermonuclear weapon over a distance of 13,000 km. It was hugely oversized for an ICBM and was never deployed in such a capacity. It was eventually used as a space launch vehicle. It was the brainchild of Vladimir Chelomei's design bureau as a foil to Sergei Korolev's N1 rocket, whose purpose was to send a two-man Zond spacecraft around the Moon; Korolev openly opposed Proton and Chelomei's other designs for their use of toxic propellants. The unusual appearance of the first stage results from the need to transport components by rail. The central oxidizer tank is the maximum width for the loading gauge of the track. The six tanks surrounding it carry fuel and serve as the attachment points for the engines. Despite resembling strap-on boosters, they are not designed to separate from the central oxidizer tank.",4.0,3.0,0.0,1.0,1.0,75.0%,['Proton']
Proton-K,https://nextspaceflight.com/rockets/133,133,"The Proton-K, also designated Proton 8K82K after its GRAU index, 8K82K, was a Russian, previously Soviet, carrier rocket derived from the earlier Proton. The baseline Proton-K was a three-stage rocket. Thirty were launched in this configuration, with payloads including all of the Soviet Union's Salyut space stations, all Mir modules with the exception of the Docking Module, which was launched on the United States Space Shuttle, and the Zarya and Zvezda modules of the International Space Station. It was intended to launch the crewed TKS spacecraft and succeeded in launching four uncrewed test flights prior to the program's cancellation.",310.0,275.0,2.0,33.0,19.0,89.0%,"['Proton-K', 'Proton-K/Block D', 'Proton-K/Block D-1', 'Proton-K/Block D-2', 'Proton-K/Block-DM', 'Proton-K/Block DM-1', 'Proton K/Block-DM-2', 'Proton-K/Block-DM2', 'Proton-K/Block DM-2M', 'Proton-K/Block DM-3', 'Proton-K/Block DM-4', 'Proton-K/Block DM-5', 'Proton-K/Briz-M']"
Proton-M,https://nextspaceflight.com/rockets/40,40,"The Proton-M, GRAU index 8K82M or 8K82KM, is an expendable Russian heavy-lift launch vehicle derived from the Soviet-developed Proton. In a typical mission, a Proton-M is accompanied by a Briz-M upper stage. The Proton-M launches the orbital unit (that is: the payload, the payload adapter, and the Briz-M) into a slightly suborbital trajectory. The first and second stages and the payload fairing crash into designated crash sites; the third stage crashes into the ocean. After the third stage separates, the orbital unit coasts for a brief period, then Briz-M performs its first firing to achieve orbital injection.",115.0,103.0,4.0,8.0,3.0,91.3%,"['Proton-M', 'Proton-M/Briz-M', 'Proton-M/DM-2', 'Proton-M/DM-3']"
PSLV,https://nextspaceflight.com/rockets/34,34,"The Polar Satellite Launch Vehicle (PSLV) is an expendable medium-lift launch vehicle designed and operated by the Indian Space Research Organisation (ISRO). It was developed to allow India to launch its Indian Remote Sensing (IRS) satellites into sun-synchronous orbits, a service that was, until the advent of the PSLV in 1993, commercially available only from Russia. PSLV can also launch small size satellites into Geostationary Transfer Orbit (GTO).",60.0,57.0,1.0,2.0,19.0,95.8%,"['PSLV-CA', 'PSLV-DL', 'PSLV-G', 'PSLV-QL', 'PSLV-XL']"
Qaem 100,https://nextspaceflight.com/rockets/296,296,"Qaem 100 (also known as Ghaem 100) is an Iranian launch vehicle developed by the Islamic Revolutionary Guard Corps (IRGC). The 3 stage rocket, all using solid rocket fuel motors, can put about 80 kg into a 500 kilometers high LEO according to Iranian reports.",,,,,,,['Qaem 100']
Qased,https://nextspaceflight.com/rockets/231,231,"The Qased rocket is an Iranian expendable small-capacity orbital space launch vehicle. It made its first flight in 2020, lofting a small military satellite titled Noor (Persian: نور‎, lit. 'light') into orbit. The Qased rocket is small enough to be launched from a transporter erector launcher and is thought to be a derivative of the first Iranian orbital launcher, Safir with a solid-fueled second stage.",3.0,3.0,0.0,0.0,3.0,100%,['Qased']
R-36 Orb,https://nextspaceflight.com/rockets/83,83,"The development of the R-36 missile complex for use with the 8К69 (termed Fractional Orbital Bombardment System in the West, NATO reporting name SS-9 Mod 3) began on April 16, 1962. Such a missile provided some advantages over a conventional ICBM. The structure and design of the fractional orbit bombardment system were similar to a conventional R-36 ICBM system. The main difference from a conventional ICBM was in the design of the re-entry vehicle, which is fitted with a single 2.4 Mt warhead, a de-orbit engine, and a control block. The control system independently uses inertial guidance and a radar altimeter which measure orbit parameters twice, once at the beginning of the orbital trajectory and again just before the firing of engines for de-orbiting. The silo launcher and command point were hardened against a nuclear blast.",24.0,20.0,0.0,4.0,16.0,83.3%,['R-36 Orb']
Redstone Sparta,https://nextspaceflight.com/rockets/151,151,"The Sparta was a three-stage rocket that launched Australia's first Earth satellite. Sparta used a surplus American Redstone as its first stage, an Antares-2 as a second stage, and a BE-3 as a third stage.",1.0,1.0,0.0,0.0,1.0,100%,['Redstone Sparta']
RFA One,https://nextspaceflight.com/rockets/258,258,The RFA One is a launch vehicle under development by the Bavarian space company Rocket Factory Augsburg. It is intended for the transport of small and microsatellites in low earth orbits.,,,,,,,['RFA One']
Rocket 3,https://nextspaceflight.com/rockets/223,223,"Rocket 3 is an expendable, vertically-launched two-stage LOX/kerosene rocket, designed to fit inside a standard shipping container and built to dramatically lower the cost of access to space. The launch vehicle consists of a first stage powered by five Delphin electric-pump-fed engines and an upper stage propelled by a single pressure-fed Aether engine.",7.0,2.0,0.0,5.0,0.0,28.6%,['Rocket 3']
Rocket 4,https://nextspaceflight.com/rockets/283,283,"Rocket 4 is an expendable, small-lift launch vehicle under development by Astra Space. Announced in May 2022, it will initially be capable of placing 600kg in Low Earth Orbit. The first stage will utilize two Astra-built tap-off cycle engines derived from Firefly's Reaver engine and will be fuelled with RP-1/LOX. The second stage will utilize a single Hadley Vacuum engine from Ursa Major and will also be fuelled by RP-1/LOX. It is designed to be rapidly transportable and deployable to nearly anywhere in the world via Astra's Launch System 2.0 containerized GSE.",,,,,,,['Rocket 4']
Rokot,https://nextspaceflight.com/rockets/37,37,"Rokot, also transliterated Rockot, was a Russian space launch vehicle. It was based on the UR-100N (SS-19 Stiletto) intercontinental ballistic missile (ICBM), supplied and operated by Khrunichev State Research and Production Space Center. The liquid-fueled rocket comprised three stages. The lower two were based on the Soviet UR-100N ICBM; the first stage used an RD-0244 engine, while the second stage used an RD-0235. The third stage was a Briz-KM (Russian: Бриз-КМ meaning Breeze-KM), which has a mass of about 6 tonnes when fuelled and is capable of flying for 7 hours and reigniting its engine six times during the flight, allowing different satellites to be placed into different orbits.",34.0,31.0,2.0,1.0,14.0,94.1%,"['Rokot/Briz K', 'Rokot/Briz KM', 'Rokot-M/Briz KM-2']"
RS1,https://nextspaceflight.com/rockets/259,259,"Both stages of the RS1 rocket are powered by ABL's E2 rocket engine with nine in the first stage and one in the second stage. The engines use liquid oxygen (LOX) as an oxidizer and can use either RP-1 or Jet-A as fuel. The containerized RS1 launch system and rocket can be deployed to and launched from a suitably flat site, the main requirements being access for trucks capable of carrying ISO containers (for the RS1 first stage), and a flat concrete pad.",1.0,0.0,0.0,1.0,0.0,0%,"['RS1 Block 1', 'RS1 Block 2']"
Safir 1,https://nextspaceflight.com/rockets/60,60,"The Safir (Persian: سفیر‎, meaning ""ambassador"") is the first Iranian expendable launch vehicle able to place a satellite in orbit.",9.0,4.0,0.0,5.0,0.0,44.4%,"['Safir-1', 'Safir-1A', 'Safir-1B', 'Safir-1B+']"
Saturn I,https://nextspaceflight.com/rockets/29,29,"The Saturn I (pronounced ""Saturn one"") was a rocket designed as the United States' first medium-lift launch vehicle for low Earth orbit payloads. The rocket's first stage was built as a cluster of propellant tanks engineered from older rocket tank designs. Its development was taken over from the Advanced Research Projects Agency in 1958 by the newly-formed civilian NASA. Its design proved sound and flexible. It was successful in initiating the development of liquid hydrogen-fueled rocket propulsion, launching the Pegasus satellites, and flight verification of the Apollo command and service module launch phase aerodynamics.",10.0,10.0,0.0,0.0,10.0,100%,"['Saturn I Block I', 'Saturn I Block II']"
Saturn IB,https://nextspaceflight.com/rockets/152,152,"The Saturn IB (pronounced ""Saturn one bee"", also known as the uprated Saturn I) was an American launch vehicle commissioned by the National Aeronautics and Space Administration (NASA) for the Apollo program. It was an uprated Saturn I, replacing the S-IV second stage with the much more powerful S-IVB. The Saturn IB was able to launch a partially fueled Apollo command and service module (CSM) or a fully fueled Apollo Lunar Module (LM) into low Earth orbit for early flight tests before the larger Saturn V needed for the lunar flight was ready.",9.0,9.0,0.0,0.0,9.0,100%,['Saturn IB']
Saturn V,https://nextspaceflight.com/rockets/153,153,"Saturn V was an American super heavy-lift launch vehicle certified for human-rating used by NASA. It consisted of three stages, each fueled by liquid propellants. It was developed to support the Apollo program for human exploration of the Moon and was later used to launch Skylab, the first American space station. The Saturn V was launched 13 times from Kennedy Space Center with no loss of crew or payload. As of 2021, the Saturn V remains the tallest, heaviest, and most powerful (highest total impulse) rocket ever brought to operational status, and holds records for the heaviest payload launched and largest payload capacity to low Earth orbit (LEO) of 310,000 lb (140,000 kg), which included the third stage and unburned propellant needed to send the Apollo command and service module and Lunar Module to the Moon.",13.0,12.0,1.0,0.0,11.0,96.2%,['Saturn V']
Scout,https://nextspaceflight.com/rockets/230,230,"The Scout multistage rocket was the first successful orbital launch vehicle to be entirely composed of solid fuel stages. The standard Scout launch vehicle was a solid propellant, four-stage booster system, approximately 23 metres (75 ft) in length with a launch weight of 21,499 kilograms (47,397 lb).",99.0,86.0,3.0,10.0,48.0,88.4%,"['Scout A', 'Scout A1', 'Scout B', 'Scout B1', 'Scout D1', 'Scout E1', 'Scout F1', 'Scout G1', 'Scout X-1', 'Scout X-2', 'Scout X-2B', 'Scout X-2M', 'Scout X-3', 'Scout X-3M', 'Scout X-4']"
Shavit,https://nextspaceflight.com/rockets/75,75,"The first of the Shavit vehicles were a small, 3-stage, solid-propellant booster based on the 2-stage Jericho-II ballistic missile and developed under the general management of Israel Aircraft Industries and in particular its MBT System and Space Technology subsidiary. Israel Military Industries Systems produces the first-stage and second-stage motors, while Rafael is responsible for the third-stage motor.",14.0,10.0,0.0,4.0,6.0,71.4%,"['Shavit', 'Shavit 1', 'Shavit 2']"
Shtil',https://nextspaceflight.com/rockets/72,72,"Space launch vehicle Shtil', is a converted SLBM used for launching artificial satellites into orbit. It is based on the R-29RM designed by State Rocket Center Makeyev and related to the Volna Launch Vehicle. The Shtil' is a 3-stage launch vehicle that uses liquid propellant. It is the first launch vehicle to successfully launch a payload into orbit from a submarine.",2.0,2.0,0.0,0.0,2.0,100%,"[""Shtil'""]"
Simorgh,https://nextspaceflight.com/rockets/48,48,"Simorgh, also called Safir-2, is an Iranian expendable small-capacity orbital space launch vehicle. The project was unveiled by Iranian President Mahmoud Ahmadinejad on 3 February 2010 as part of celebrations of the first anniversary of the launch of Omid, the first indigenously-launched Iranian satellite.",5.0,1.0,0.0,4.0,1.0,20.0%,['Simorgh']
Skyrora XL,https://nextspaceflight.com/rockets/299,299,"Skyrora XL is a three stage, light class launch vehicle intended to place payloads into Sun-Synchronous Orbit (SSO) between a range of 500km and 1,000km in altitude. The vehicle is also intended to place payloads into Polar Orbit between a range of 200km and 1,000km in altitude.",,,,,,,['Skyrora XL']
SLS,https://nextspaceflight.com/rockets/5,5,"The Space Launch System (SLS) is an American Space Shuttle-derived super heavy-lift expendable launch vehicle, which has been under development by NASA in the United States since its announcement in 2011. It has become the primary launch vehicle of NASA's deep space exploration plans including the planned crewed lunar flights of the Artemis program to the Moon and a possible follow-on human mission to Mars.",1.0,1.0,0.0,0.0,1.0,100%,"['SLS Block 1', 'SLS Block 1B']"
SLV,https://nextspaceflight.com/rockets/32,32,The Satellite Launch Vehicle or SLV was a small-lift launch vehicle project started in the early 1970s by the Indian Space Research Organization to develop the technology needed to launch satellites. The solid motor case for the first and second stages are fabricated from 15 CDV6 steel sheets and the third and fourth stages from fiber-reinforced plastic.,4.0,2.0,1.0,1.0,1.0,62.5%,['SLV-3']
SM-65B Atlas,https://nextspaceflight.com/rockets/173,173,"The Convair SM-65B Atlas, or Atlas B, was a prototype of the Atlas missile. It was the first version of the Atlas rocket to use the stage and a half design with an operational sustainer engine and jettisonable rocket booster section. Unlike later Atlas models, the SM-65B Atlas used explosive bolts to jettison the booster section.",1.0,1.0,0.0,0.0,1.0,100%,['SM-65B Atlas']
South Korean ADD Solid-Fuel SLV,https://nextspaceflight.com/rockets/292,292,"South Korean military developed small satellite launch vehicle for ""quick response"" usage. First orbital test launch in December 2023 omits the 2nd stage but still carries satellite into orbit.",1.0,1.0,0.0,0.0,1.0,100%,"['South Korean ADD Solid-Fuel SLV', 'South Korean ADD Solid-Fuel SLV (3 stage)']"
Soyuz,https://nextspaceflight.com/rockets/194,194,"The Soyuz (GRAU index 11A511) was a Soviet expendable carrier rocket designed in the 1960s by OKB-1 and manufactured by State Aviation Plant No. 1 in Kuybyshev, Soviet Union. It was commissioned to launch the Soyuz spacecraft as part of the Soviet human spaceflight program, first with 8 uncrewed test flights, followed by crewed launches. The original Soyuz also launched test flights of the improved Soyuz 7K-T capsule",32.0,30.0,0.0,2.0,3.0,93.8%,['Soyuz']
Soyuz 2.1a,https://nextspaceflight.com/rockets/141,141,The 2.1a version includes conversion from analog to digital flight control system and uprated engines on the booster and the first stage with improved injection systems. The new digital flight control and telemetry systems allow the rocket to launch from a fixed rather than angled launch platform and adjust its heading in flight. A digital control system also enables the launch of larger commercial satellites with wider and longer payload fairings such as the ST-type fairing. These fairings introduce too much aerodynamic instability for the old analog system to handle. This stage continues to use the RD-0110 engine. The 2.1a/ST version is sometimes called Soyuz ST-A.,78.0,76.0,1.0,1.0,56.0,98.1%,"['Soyuz 2.1a', 'Soyuz 2.1a/Fregat', 'Soyuz 2.1a/Fregat-M', 'Soyuz 2.1a/Volga', 'Soyuz ST-A/Fregat', 'Soyuz ST-A/Fregat-M']"
Soyuz 2.1b,https://nextspaceflight.com/rockets/142,142,"The 2.1b version adds an upgraded engine (RD-0124) which greatly increases the specific impulse of the upper stage (326 seconds to 359 seconds), and hence improves payload capability from 7 tonnes to 8.2 tonnes.",90.0,87.0,1.0,2.0,54.0,97.2%,"['Soyuz 2.1b', 'Soyuz 2.1b/Fregat', 'Soyuz 2.1b/Fregat-M', 'Soyuz ST-B/Fregat-M', 'Soyuz ST-B/Fregat-MT']"
Soyuz 2.1v,https://nextspaceflight.com/rockets/143,143,"The Soyuz-2.1v represents a major departure from earlier Soyuz rockets. Unlike the Soyuz-2.1b upon which it is based, it does away with the four boosters used on all other R-7 vehicles. The first stage of the Soyuz-2.1v is a heavily modified derivative of the Soyuz-2 first stage, with a single-chamber NK-33 engine replacing the four-chamber RD-107 used on previous rockets along with structural modifications to the stage and lower tanking. Since the NK-33 is fixed, the RD-0110R engine is used to supply thrust vector control.",12.0,11.0,1.0,0.0,10.0,95.8%,"['Soyuz 2.1v', 'Soyuz 2.1v/Volga']"
Soyuz 5,https://nextspaceflight.com/rockets/216,216,"Soyuz 5 is a planned Russian rocket that is being developed by JSC SRC Progress within the ""Project Feniks."" It will replace the capability of Zenit-2 and Proton Medium. It will initially be a two-stage rocket, but Soyuz 5 can be enhanced with an optional Blok DM-03 upper stage for geostationary missions.",,,,,,,"['Soyuz 5', 'Soyuz 5/Fregat-SBU']"
Soyuz FG,https://nextspaceflight.com/rockets/144,144,"The Soyuz-FG launch vehicle was an improved version of the Soyuz-U from the R-7 family of rockets, designed and constructed by TsSKB-Progress in Samara, Russia. Guidance, navigation, and control system was developed and manufactured by ""Polisvit"" Special Design Bureau. For uncrewed flights, Soyuz-FG optionally flew with a Fregat upper stage, developed and produced by Lavochkin Association in Khimki. The analog control system significantly limited Soyuz FG's capabilities and prompted its replacement by Soyuz-2.",70.0,69.0,0.0,1.0,5.0,98.6%,"['Soyuz FG', 'Soyuz FG/Fregat']"
Soyuz L,https://nextspaceflight.com/rockets/195,195,"The Soyuz-L, GRAU index 11A511L, was a Soviet expendable carrier rocket designed by OKB-1 and manufactured by State Aviation Plant No. 1 in Samara, Russia. It was created to test the LK lunar lander in low Earth orbit, as part of the Soviet lunar program. The Soyuz-L was a derivative of the original Soyuz rocket featuring the reinforced first stage and boosters supporting the Molniya-M's third stage so that it could carry a more massive payload. A larger payload fairing was also fitted, to accommodate the LK spacecraft.",3.0,3.0,0.0,0.0,3.0,100%,['Soyuz L']
Soyuz M,https://nextspaceflight.com/rockets/196,196,"The Soyuz-M, GRAU index 11A511M, was a Soviet expendable carrier rocket designed by OKB-1 and manufactured by State Aviation Plant No. 1 in Samara, Russia. It was originally built to launch a crewed Soyuz 7K-VI spacecraft for the Soviet armed forces. Following the cancellation of this program, the development of the rocket continued for the Soyuz 7K-S spacecraft. After this too was canceled, Soyuz-M development was also abandoned, and the rockets that had been completed were used to launch reconnaissance satellites.",8.0,6.0,2.0,0.0,6.0,87.5%,['Soyuz M']
Soyuz U,https://nextspaceflight.com/rockets/145,145,"The Soyuz-U launch vehicle was an improved version of the original Soyuz rocket. Soyuz-U was part of the R-7 family of rockets based on the R-7 Semyorka missile. Members of this rocket family were designed by the TsSKB design bureau and constructed at the Progress factory in Samara, Russia (now a united company, TsSKB-Progress). Soyuz-U was in use continuously for almost 44 years. Production of R-7 derived launch vehicles peaked in the late 1970s-early 1980s at 55–60 a year. Soyuz-U held the world record for the highest launch rate in a year in 1979 with 47 flights. Over its operational lifetime, the Soyuz-U variant flew a total of 786 missions, another world record.",859.0,835.0,2.0,22.0,1.0,97.3%,"['Soyuz U', 'Soyuz U2', 'Soyuz U/Fregat', 'Soyuz U/Ikar']"
Space Shuttle,https://nextspaceflight.com/rockets/36,36,"The Space Shuttle was a partially reusable low Earth orbital spacecraft system operated from 1981 to 2011 by the National Aeronautics and Space Administration (NASA) as part of the Space Shuttle program. Its official program name was Space Transportation System (STS), taken from a 1969 plan for a system of reusable spacecraft where it was the only item funded for development. Five complete Space Shuttle orbiter vehicles were built and flown on a total of 135 missions from 1981 to 2011, launched from the Kennedy Space Center (KSC) in Florida. Operational missions launched numerous satellites, interplanetary probes, and the Hubble Space Telescope (HST), conducted science experiments in orbit, participated in the Shuttle-Mir program with Russia, and participated in construction and servicing of the International Space Station (ISS). The Space Shuttle fleet's total mission time was 1,322 days, 19 hours, 21 minutes, and 23 seconds.",135.0,133.0,0.0,2.0,22.0,98.5%,"['Space Shuttle Atlantis', 'Space Shuttle Challenger', 'Space Shuttle Columbia', 'Space Shuttle Discovery', 'Space Shuttle Endeavour']"
Spectrum,https://nextspaceflight.com/rockets/257,257,"Spectrum is a two-stage launch vehicle that is specifically designed for satellite constellation deployment. Payload capabilities of up to 1,000 kg to low-earth orbit and a multi-ignition second-stage engine enable flexible access to space for major satellite systems.",,,,,,,['Spectrum']
Sputnik 8A91,https://nextspaceflight.com/rockets/146,146,"The Sputnik rocket was an uncrewed orbital carrier rocket designed by Sergei Korolev in the Soviet Union, derived from the R-7 Semyorka ICBM. The Sputnik 8A91 had more powerful 8D76 and 8D77 engines installed, increasing its payload capacity, and allowing it to launch much heavier satellites than Sputnik 1 and Sputnik 2.",2.0,1.0,0.0,1.0,1.0,50.0%,['Sputnik 8A91']
Sputnik 8K71PS,https://nextspaceflight.com/rockets/147,147,"The Sputnik rocket was an uncrewed orbital carrier rocket designed by Sergei Korolev in the Soviet Union, derived from the R-7 Semyorka ICBM. It was used to perform the world's first satellite launch, placing Sputnik 1 into a low Earth orbit.",2.0,2.0,0.0,0.0,2.0,100%,['Sputnik 8K71PS']
SS-520,https://nextspaceflight.com/rockets/79,79,"This version is a two-stage sounding rocket or three-stage orbital rocket, which uses S-520 as the first stage. Unlike the previous S-Series rockets, the SS-520 is intended to demonstrate how small an orbital launch vehicle can be.",2.0,1.0,0.0,1.0,1.0,50.0%,['SS-520']
SSLV,https://nextspaceflight.com/rockets/47,47,The Small Satellite Launch Vehicle (or SSLV) is a small-lift launch vehicle being developed by the Indian Space Research Organisation (ISRO) for launching small satellites.,3.0,2.0,0.0,1.0,2.0,66.7%,['SSLV']
Starship,https://nextspaceflight.com/rockets/174,174,"SpaceX's Starship spacecraft and Super Heavy rocket, collectively referred to as Starship, constitute a fully reusable transportation system designed by SpaceX to carry both crew and cargo to Earth orbit, the Moon, Mars, and beyond. Starship is the world’s most powerful launch vehicle ever developed, capable of carrying up to 150 metric tonnes fully reusable and 250 metric tonnes expendable. Starship itself serves as the fully reusable spacecraft and second stage of the system, available in various configurations with an integrated payload section. Additionally, the Super Heavy, the first stage or booster of the Starship launch system, is powered by 33 Raptor engines using sub-cooled liquid methane (CH4) and liquid oxygen (LOX). It is fully reusable, capable of re-entering Earth's atmosphere, and landing back at the launch site.",5.0,3.0,1.0,1.0,3.0,70.0%,"['Cargo Starship', 'Crew Starship', 'Starship HLS', 'Starship-Super Heavy (Prototype)', 'Tanker Starship']"
START-1,https://nextspaceflight.com/rockets/156,156,,7.0,5.0,1.0,1.0,5.0,78.6%,"['START', 'START-1']"
Strela,https://nextspaceflight.com/rockets/167,167,,3.0,3.0,0.0,0.0,3.0,100%,['Strela']
Super Strypi,https://nextspaceflight.com/rockets/206,206,"SPARK, or Spaceborne Payload Assist Rocket - Kauai, also known as Super Strypi, is an American expendable launch system developed by the University of Hawaii, Sandia and Aerojet Rocketdyne. Designed to place miniaturized satellites into low Earth and sun-synchronous orbits, it is a derivative of the Strypi rocket which was developed in the 1960s in support of nuclear weapons testing. SPARK is being developed under the Low Earth Orbiting Nanosatellite Integrated Defense Autonomous System (LEONIDAS) program, funded by the Operationally Responsive Space Office of the United States Department of Defense.",1.0,0.0,0.0,1.0,0.0,0%,['Super Strypi']
Taepodong 1,https://nextspaceflight.com/rockets/74,74,"Taepodong-1 was a three-stage technology demonstrator developed by North Korea, a development step toward an intermediate-range ballistic missile. The missile was derived originally from the Scud rocket and was tested once in 1998 as a space launch vehicle. As a space launch vehicle, it was sometimes called the Paektusan 1.",1.0,0.0,0.0,1.0,0.0,0%,['Taepodong 1']
Terran 1,https://nextspaceflight.com/rockets/86,86,"The Terran 1 is a retired expendable launch vehicle that consisted of two stages. The first stage used nine Aeon 1 engines, while the second stage used a single Aeon 1 engine. The rocket was designed to deploy and resupply constellations and was 85% 3D printed.",1.0,0.0,0.0,1.0,0.0,0%,['Terran 1']
Terran R,https://nextspaceflight.com/rockets/276,276,"Terran R is a planned partially-reusable heavy-lift launch vehicle. The first stage of the rocket will be reused up to 20 times, but the second stage of each rocket will be expended. Both stages use Methane and LOx as propellants. Terran R will use 13 scaled-up Aeon engines, Aeon R, in its first stage, and an upgraded Aeon Vacuum engine in its second stage. Terran R is planned to take flight in 2026.",,,,,,,['Terran R']
Thor-Able,https://nextspaceflight.com/rockets/102,102,"The Thor-Able was an American expendable launch system and sounding rocket used for a series of re-entry vehicle tests and satellite launches between 1958 and 1960. It was a two-stage rocket, consisting of a Thor IRBM as a first stage and a Vanguard-derived Able second stage. On some flights, an Altair solid rocket motor was added as a third stage.",7.0,3.0,1.0,3.0,2.0,50.0%,"['Thor DM-18 Able-I', 'Thor DM-18 Able-II', 'Thor DM-18 Able-III', 'Thor DM-18 Able-IV']"
Thor-Ablestar,https://nextspaceflight.com/rockets/242,242,"The Thor-Ablestar, or Thor-Able-Star, also known as Thor-Epsilon was an early American expendable launch system consisting of a PGM-17 Thor missile, with an Ablestar upper stage. It was a member of the Thor family of rockets and was derived from the Thor-Able. The Ablestar second stage was an enlarged version of the Able, which gave the Thor-Ablestar a greater payload capacity compared to the Thor-Able. It also incorporated restart capabilities, allowing a multiple-burn trajectory to be flown, further increasing payload, or allowing the rocket to reach different orbits. It was the first rocket to be developed with such a capability and development of the stage took a mere eight months.",19.0,14.0,0.0,5.0,5.0,73.7%,"['Thor DM-21 Ablestar', 'Thor DSV2A Ablestar']"
Thor-Agena,https://nextspaceflight.com/rockets/241,241,"Thor-Agena was a series of orbital launch vehicles. The rockets used the Douglas-built Thor first stage and the Lockheed-built Agena second stages. They are thus cousins of the more-famous Thor-Deltas, which founded the Delta rocket family. The first attempted launch of a Thor-Agena was in January 1959. The first successful launch was on 28 February 1959, launching Discoverer 1. It was the first two-stage rocket to place a satellite into orbit.",185.0,159.0,2.0,24.0,7.0,86.5%,"['Thorad SLV-2G Agena-D', 'Thor DM-18 Agena-A', 'Thor DM-21 Agena-B', 'Thor DM-21 Agena-D', 'Thor SLV2A Agena-D']"
Thor-Burner,https://nextspaceflight.com/rockets/262,262,"The Thor-Burner was an American expendable launch system, a member of the Thor rocket family. It consisted of a Thor missile, with one or two Burner upper stages.",31.0,27.0,1.0,3.0,0.0,88.7%,"['Thor LV2D Burner-1I', 'Thor LV2D Burner-2', 'Thor LV2F Star-ISS']"
Thor-Delta,https://nextspaceflight.com/rockets/243,243,"The Thor-Delta, also known as Delta DM-19 or just Delta was an early American expendable launch system. The first stage was a Thor missile in the DM-19 configuration. The second stage was the Delta, which had been derived from the earlier Able stage. An Altair solid rocket motor was used as a third stage.",12.0,11.0,0.0,1.0,11.0,91.7%,['Thor DM-19 Delta']
Tianlong 2,https://nextspaceflight.com/rockets/287,287,"Tianlong-2 is a medium-sized, 3 stage rocket powered by coal-based kerosene and liquid oxygen, with payload capability of 2 tonnes to LEO and 1.5 tonnes to SSO. Tianlong-2 has a liftoff weight of 150 tonnes, liftoff thrust of 190 tonnes and initially uses 3 YF-102 expander cycle kerosene/LOX engines on the first stage each with a thrust of 63.3 metric tonnes. The second stage uses 1 TH-11 staged combustion kerosene/LOX with a thrust of 30.6 metric tonnes. 7 TH-11 engines will be used for the 1st stage of subsequent vehicles. The third stage uses 1 TH-31 NTO/MMH hypergolic fuel engine with 3000 N thrust and 8 x 150 N RCS thrusters. The Tianlong-2 is the first Chinese liquid-fueled private orbital rocket to attempt an orbital flight.",1.0,1.0,0.0,0.0,1.0,100%,['Tianlong 2']
